,best_f1,best_c,best_depth,var_smoothing,clf,time,max_features,min_dfs,max_dfs,ngram_ranges
0,0.0,-1.0,-1.0,-1.0,nb,0.06407639999997627,10000.0,0.1,1.0,"(1, 1)"
1,0.005296544445474764,-1.0,9.0,-1.0,dec_tree,1.3297370000000228,10000.0,0.1,1.0,"(1, 1)"
2,0.19707136632069577,0.00021544346900318845,-1.0,-1.0,logreg,1.8515495000001465,10000.0,0.1,1.0,"(1, 1)"
3,0.19705822333496786,5.994842503189409e-06,-1.0,-1.0,svm,21.711077999999816,10000.0,0.1,1.0,"(1, 1)"
4,0.0,-1.0,-1.0,-1.0,nb,0.06249359999992521,10000.0,0.1,1.0,"(1, 2)"
5,0.003972508237873188,-1.0,9.0,-1.0,dec_tree,1.3286191999995935,10000.0,0.1,1.0,"(1, 2)"
6,0.20325317978962362,1e-06,-1.0,-1.0,logreg,1.9113371000003099,10000.0,0.1,1.0,"(1, 2)"
7,0.20325317978962362,1e-06,-1.0,-1.0,svm,19.748674900000424,10000.0,0.1,1.0,"(1, 2)"
8,,,,,,,10000.0,0.1,1.0,"(2, 3)"
9,0.0,-1,-1,-1,nb,0.06398990000025151,10000.0,0.1,0.9,"(1, 1)"
10,0.0032935610919355104,-1,9,-1,dec_tree,1.325887800000146,10000.0,0.1,0.9,"(1, 1)"
11,0.19949766737139213,1e-06,-1,-1,logreg,1.8827033000002302,10000.0,0.1,0.9,"(1, 1)"
12,0.19949766737139213,1e-06,-1,-1,svm,21.783592899999803,10000.0,0.1,0.9,"(1, 1)"
13,0.0,-1,-1,-1,nb,0.06341209999982311,10000.0,0.1,0.9,"(1, 2)"
14,0.0013280765360279012,-1,9,-1,dec_tree,1.4289377000000059,10000.0,0.1,0.9,"(1, 2)"
15,0.20029758718691001,1e-06,-1,-1,logreg,1.85433090000015,10000.0,0.1,0.9,"(1, 2)"
16,0.19891495330651274,1e-06,-1,-1,svm,20.2574410000002,10000.0,0.1,0.9,"(1, 2)"
17,,,,,,,10000.0,0.1,0.9,"(2, 3)"
18,0.0,-1,-1,-1,nb,0.06375359999992725,10000.0,0.1,0.88,"(1, 1)"
